,Dummy_application_id,ever60_24m_StrictFlag,NATURE_OF_ORGANISATION,OCCUPATION_TYPE,Max_dependent,LTV,Doc_form_16,income_max,income_sum,income_min,edu_max,edu_min,age_max,age_min,cnt_coapplicant,REQUESTED_TENURE,PROPERTY_INSURANCE_AMT,Organization_type,SALARIED_SELF,CHANNEL_CODE,City_tier,FOIR2,Loan_sub_type_1,SAL_FLAG,emi_income_max,emi_income_sum,All_No_of_TL,All_open_TL,All_Vin_bureau,All_min_Vin_bureau,All_Delq_TL_24_M,No_of_enq_All,Latest_Bureau_prd,Bureau_TL
3640,6941169,0,Proprietor-Proprietorship Firm (Staff More than 25),SERVICES,0,0.286994022,1,18630.8333,18630.8333,0.0,3,2,36,34,1,240.0,10260.0,3.Private Ltd Co,SELF_EMP,CROSS SALES,2,28.01270301,Builder Ready,NONSAL,0.28012703,0.28012703,1,1,9,9,0,5,CL,10.<36 Others
3641,6941495,0,Proprietor-Proprietorship Firm (Staff Less than 25),PROPRIETOR,1,0.152541131,0,32931.5,32931.5,0.0,3,1,45,42,1,180.0,4423.0,3.Private Ltd Co,SELF_EMP,DSA,1,21.83319922,Builder UNC,NONSAL,0.218331992,0.218331992,4,2,70,29,0,7,TWL,8.<36 TWL GL
3642,6941563,0,MNC,SALARIED,1,0.723181122,1,35945.0,35945.0,0.0,4,3,43,32,1,180.0,4190.0,5.MNC,SALARIED,CROSS SALES,1,32.94199471,Builder Ready,SAL,0.329419947,0.329419947,8,4,119,30,3,42,HL,7.<36 AL HL LAS
3643,6941605,0,Proprietor-Proprietorship Firm (Staff Less than 25),PROPRIETOR,0,0.166405015,0,37881.6667,37881.6667,0.0,3,2,59,35,1,144.0,4033.0,3.Private Ltd Co,SELF_EMP,CROSS SALES,1,43.64380303,Builder UNC,NONSAL,0.22525408,0.22525408,4,3,54,5,0,8,CL,4.<6 BL CL Oth
3644,6941699,1,Partner-Partnership Firm (Staff Less than 10),MANUFACTURING,4,0.604404706,0,34923.0,34923.0,0.0,3,3,45,36,1,120.0,4275.0,3.Private Ltd Co,SELF_EMP,CROSS SALES,1,,Builder Ready,NONSAL,0.408613235,0.408613235,1,1,13,13,0,2,CC,9.<36 CC
3645,6943357,0,Private Ltd. Co.,SALARIED,3,0.414669167,0,53932.0,53932.0,0.0,4,4,27,27,1,300.0,14890.0,3.Private Ltd Co,SALARIED,DSA,1,,Builder UNC,SAL,0.347140844,0.347140844,5,3,59,28,0,6,CC,9.<36 CC
3646,6944715,0,MNC,ADVISOR,0,0.8,0,80011.5,80011.5,0.0,4,3,60,36,1,240.0,17328.0,5.MNC,SELF_EMP,UBL Sales,1,54.22095574,Builder UNC,NONSAL,0.542209557,0.542209557,3,-999,30,8,1,3,GL,8.<36 TWL GL
3647,6945157,0,Government,SALARIED,2,0.752118644,0,23438.0,42275.0,18837.0,3,3,51,43,1,180.0,0.0,2.Govt,SALARIED,CROSS SALES,2,60.09698403,Builder Ready,SAL,0.973035242,0.539467771,2,-999,41,41,0,3,TWL,12.>36 PL TWL GL
3648,6946267,0,Private Ltd. Co.,SALARIED,2,0.398616624,1,15000.0,15000.0,0.0,1,1,49,26,1,300.0,8874.0,3.Private Ltd Co,SALARIED,CROSS SALES,2,49.41333333,Self Construction,SAL,0.494133333,0.494133333,21,5,33,1,0,1,BL_PSL,5.<6 Others
3649,6948747,0,MNC,SALARIED,0,0.726436042,1,34261.0,34261.0,0.0,4,1,55,26,1,240.0,9371.0,5.MNC,SALARIED,CROSS SALES,2,44.24856251,Self Construction,SAL,0.442485625,0.442485625,1,1,2,2,0,4,CC,2.<6 CC
3650,6949295,0,Proprietor-Proprietorship Firm (Staff More than 25),PROPRIETOR,2,0.551181102,0,25250.0833,25250.0833,0.0,3,2,40,26,1,240.0,0.0,3.Private Ltd Co,SELF_EMP,UBL Sales,2,27.39792942,Resale Ready,NONSAL,0.273979294,0.273979294,1,-999,39,39,0,3,TWL,12.>36 PL TWL GL
3651,6949447,0,Proprietor-Proprietorship Firm (Staff More than 25),SERVICES,3,0.532642105,0,24941.6667,24941.6667,0.0,3,1,52,27,1,120.0,3431.0,3.Private Ltd Co,SELF_EMP,CROSS SALES,3,43.52956894,Builder Ready,NONSAL,0.435295689,0.435295689,1,1,10,10,0,1,TWL,8.<36 TWL GL
